"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO101_25_2306","GO101_25_2","1",""
"102","102","GO101_25_2702","GO101_25_2","1",""
"102","102","GO101_25_814","GO101_25_4","1",""
"102","102","GO101_25_1612","GO101_25_4","1",""
"102","102","GO101_25_1524_1","GO101_25_8","1",""
"102","102","GO101_25_2724","GO101_25_8","1",""
"102","102","GO101_25_2724","GO101_25_10","1",""
"102","102","GO101_25_1298","GO101_25_12","1",""
"102","102","GO101_25_2350","GO101_25_12","1",""
"102","102","GO101_25_170","GO101_25_18","1",""
"102","102","GO101_25_2064","GO101_25_18","1",""
"102","102","GO101_25_2064","GO101_25_18_1","1",""
"102","102","GO101_25_2360","GO101_25_18_1","1",""
"102","102","GO101_25_1660","GO101_25_20","1",""
"102","102","GO101_25_2442","GO101_25_20_1","1",""
"102","102","GO101_25_770","GO101_25_22","1",""
"102","102","GO101_25_1064","GO101_25_22","1",""
"102","102","GO101_25_774","GO101_25_24","1",""
"102","102","GO101_25_1068","GO101_25_24","1",""
"102","102","GO101_25_1978","GO101_25_26","1",""
"102","102","GO101_25_2784","GO101_25_26","1",""
"27","27","GO101_25_31","GO101_25_217","1",""
"27","27","GO101_25_196","GO101_25_32","1",""
"27","27","GO101_25_136","GO101_25_36","1",""
"27","27","GO101_25_148","GO101_25_38","1",""
"27","27","GO101_25_168","GO101_25_40","1",""
"27","27","GO101_25_41","GO101_25_133","1",""
"27","27","GO101_25_43","GO101_25_167","1",""
"102","102","GO101_25_272","GO101_25_44","1",""
"27","27","GO101_25_180","GO101_25_46","1",""
"102","102","GO101_25_290","GO101_25_48","1",""
"102","102","GO101_25_1588","GO101_25_48","1",""
"27","27","GO101_25_120","GO101_25_56","1",""
"27","27","GO101_25_57","GO101_25_229","1",""
"27","27","GO101_25_124","GO101_25_58","1",""
"27","27","GO101_25_59","GO101_25_139","1",""
"27","27","GO101_25_128","GO101_25_60","1",""
"27","27","GO101_25_61","GO101_25_143","1",""
"102","102","GO101_25_716","GO101_25_62","1",""
"102","102","GO101_25_1916","GO101_25_62","1",""
"27","27","GO101_25_63","GO101_25_147","1",""
"27","27","GO101_25_132","GO101_25_64","1",""
"27","27","GO101_25_140","GO101_25_66","1",""
"27","27","GO101_25_67","GO101_25_155","1",""
"27","27","GO101_25_144","GO101_25_68","1",""
"27","27","GO101_25_69","GO101_25_163","1",""
"27","27","GO101_25_71","GO101_25_171","1",""
"27","27","GO101_25_73","GO101_25_177","1",""
"27","27","GO101_25_152","GO101_25_74","1",""
"27","27","GO101_25_75","GO101_25_181","1",""
"102","102","GO101_25_162","GO101_25_76","1",""
"102","102","GO101_25_754","GO101_25_76","1",""
"27","27","GO101_25_77","GO101_25_185","1",""
"27","27","GO101_25_164","GO101_25_78","1",""
"102","102","GO101_25_760","GO101_25_80","1",""
"102","102","GO101_25_1970","GO101_25_80","1",""
"27","27","GO101_25_268","GO101_25_82","1",""
"27","27","GO101_25_188","GO101_25_84","1",""
"27","27","GO101_25_89","GO101_25_169","1",""
"27","27","GO101_25_99","GO101_25_171","1",""
"102","102","GO101_25_102","GO101_25_502","1",""
"102","102","GO101_25_702","GO101_25_502","1",""
"102","102","GO101_25_220","GO101_25_508","1",""
"102","102","GO101_25_1912","GO101_25_508","1",""
"102","102","GO101_25_814","GO101_25_510","1",""
"102","102","GO101_25_2014","GO101_25_510","1",""
"102","102","GO101_25_130","GO101_25_512","1",""
"102","102","GO101_25_1614","GO101_25_512","1",""
"102","102","GO101_25_722_1","GO101_25_516","1",""
"102","102","GO101_25_1522","GO101_25_516","1",""
"102","102","GO101_25_724_1","GO101_25_550","1",""
"102","102","GO101_25_1526","GO101_25_550","1",""
"102","102","GO101_25_750_1","GO101_25_552","1",""
"102","102","GO101_25_1552","GO101_25_552","1",""
"102","102","GO101_25_162","GO101_25_556","1",""
"102","102","GO101_25_1754","GO101_25_556","1",""
"102","102","GO101_25_860","GO101_25_558","1",""
"102","102","GO101_25_1150","GO101_25_558","1",""
"102","102","GO101_25_170","GO101_25_560","1",""
"102","102","GO101_25_2064","GO101_25_560","1",""
"102","102","GO101_25_268","GO101_25_562","1",""
"102","102","GO101_25_1060","GO101_25_562","1",""
"102","102","GO101_25_272","GO101_25_566","1",""
