"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"5","A308F0B7","GO101_25_2","Montauk","2","0","03FFAF24","0"
"5","A308F0B7","GO101_25_3","Jamaica","3","1","03FFAF24W","0"
"5","A308F0B7","GO101_25_4","Montauk","4","0","03FFAF24","0"
"5","A308F0B7","GO101_25_5","Penn Station","5","1","077BA7EAW","1"
"5","A308F0B7","GO101_25_7","Long Island City","7","1","E1567DD0W","1"
"5","6855E704","GO101_25_8","Montauk","8","0","03FFAF24","0"
"5","2A986CA7","GO101_25_10","Montauk","10","0","03FFAF24","0"
"5","5B12B469","GO101_25_11","Hunterspoint Avenue","11","1","6167D1C4W","0"
"5","2A986CA7","GO101_25_12","Montauk","12","0","6167D1C4","0"
"5","A308F0B7","GO101_25_13","Jamaica","13","1","03FFAF24W","0"
"5","31DAFE4A","GO101_25_14","Montauk","14","0","5D287D06","1"
"5","2A986CA7","GO101_25_16","Montauk","16","0","5D287D06","1"
"5","A308F0B7","GO101_25_17","Jamaica","17","1","03FFAF24W","0"
"5","6855E704","GO101_25_18","Montauk","18","0","6167D1C4","1"
"5","2A986CA7","GO101_25_18_1","Montauk","18","0","6167D1C4","1"
"5","52A8E29C","GO101_25_20","Montauk","20","0","5D287D06","1"
"5","587FC5EA","GO101_25_20_1","Montauk","20","0","5D287D06","1"
"5","A308F0B7","GO101_25_21","Jamaica","21","1","03FFAF24W","0"
"5","A308F0B7","GO101_25_22","Montauk","22","0","03FFAF24","1"
"5","A308F0B7","GO101_25_26","Montauk","26","0","03FFAF24","0"
"5","A308F0B7","GO101_25_31","Babylon","31","1","C47E4DA6W","1"
"5","83453A8B","GO101_25_32","Speonk","32","0","C47E4DA6","0"
"5","A308F0B7","GO101_25_35","Long Island City","35","1","FAB78717W","1"
"5","A308F0B7","GO101_25_36","Speonk","36","0","C47E4DA6","0"
"5","A308F0B7","GO101_25_37","Long Island City","37","1","FAB78717W","1"
"5","A308F0B7","GO101_25_38","Speonk","38","0","C47E4DA6","0"
"5","A308F0B7","GO101_25_39","Penn Station","39","1","4687B150W","1"
"5","A308F0B7","GO101_25_40","Speonk","40","0","C47E4DA6","1"
"5","A308F0B7","GO101_25_41","Babylon","41","1","C47E4DA6W","1"
"5","6855E704","GO101_25_43","Babylon","43","1","C47E4DA6W","0"
"5","A308F0B7","GO101_25_44","Speonk","44","0","4687B150","1"
"5","A308F0B7","GO101_25_45","Jamaica","45","1","2C29C908W","0"
"5","A308F0B7","GO101_25_46","Speonk","46","0","C47E4DA6","1"
"5","A308F0B7","GO101_25_47","Jamaica","47","1","2C29C908W","0"
"5","A308F0B7","GO101_25_48","Speonk","48","0","2C29C908","0"
"5","A308F0B7","GO101_25_49","Jamaica","49","1","2C29C908W","0"
"5","A308F0B7","GO101_25_56","Patchogue","56","0","7A51E605","0"
"5","A308F0B7","GO101_25_57","Babylon","57","1","7A51E605W","1"
"5","A308F0B7","GO101_25_58","Patchogue","58","0","7A51E605","0"
"5","A308F0B7","GO101_25_59","Babylon","59","1","7A51E605W","0"
"5","A308F0B7","GO101_25_60","Patchogue","60","0","7A51E605","0"
"5","A308F0B7","GO101_25_61","Babylon","61","1","7A51E605W","0"
"5","A308F0B7","GO101_25_62","Patchogue","62","0","4FA72919","0"
"5","A308F0B7","GO101_25_63","Babylon","63","1","7A51E605W","0"
"5","A308F0B7","GO101_25_64","Patchogue","64","0","7A51E605","0"
"5","2A986CA7","GO101_25_66","Patchogue","66","0","7A51E605","0"
"5","A308F0B7","GO101_25_67","Babylon","67","1","7A51E605W","0"
"5","A308F0B7","GO101_25_68","Patchogue","68","0","7A51E605","0"
"5","A308F0B7","GO101_25_69","Babylon","69","1","7A51E605W","0"
"5","6855E704","GO101_25_71","Babylon","71","1","7A51E605W","0"
"5","A308F0B7","GO101_25_73","Babylon","73","1","7A51E605W","0"
"5","A308F0B7","GO101_25_74","Patchogue","74","0","7A51E605","0"
"5","A308F0B7","GO101_25_75","Babylon","75","1","7A51E605W","0"
"5","A308F0B7","GO101_25_76","Patchogue","76","0","CE41583F","0"
