"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO101_25_702_2","GO101_25_2","1",""
"102","102","GO101_25_2306","GO101_25_2","1",""
"102","102","GO101_25_2702","GO101_25_2","1",""
"102","102","GO101_25_814","GO101_25_4","1",""
"102","102","GO101_25_1612","GO101_25_4","1",""
"102","102","GO101_25_1524","GO101_25_8","1",""
"102","102","GO101_25_2724","GO101_25_8","1",""
"102","102","GO101_25_1524","GO101_25_10","1",""
"102","102","GO101_25_2724","GO101_25_10","1",""
"102","102","GO101_25_1298","GO101_25_12","1",""
"102","102","GO101_25_2350","GO101_25_12","1",""
"102","102","GO101_25_170","GO101_25_18","1",""
"102","102","GO101_25_2064","GO101_25_18","1",""
"102","102","GO101_25_2064","GO101_25_18_1","1",""
"102","102","GO101_25_2360","GO101_25_18_1","1",""
"102","102","GO101_25_1660","GO101_25_20","1",""
"102","102","GO101_25_2442","GO101_25_20_1","1",""
"102","102","GO101_25_770","GO101_25_22","1",""
"102","102","GO101_25_1064","GO101_25_22","1",""
"102","102","GO101_25_1978","GO101_25_26","1",""
"102","102","GO101_25_2784","GO101_25_26","1",""
"27","27","GO101_25_31","GO101_25_217","1",""
"27","27","GO101_25_196","GO101_25_32","1",""
"27","27","GO101_25_136","GO101_25_36","1",""
"27","27","GO101_25_148","GO101_25_38","1",""
"27","27","GO101_25_168","GO101_25_40","1",""
"27","27","GO101_25_41","GO101_25_133","1",""
"27","27","GO101_25_43","GO101_25_167","1",""
"102","102","GO101_25_272","GO101_25_44","1",""
"27","27","GO101_25_180","GO101_25_46","1",""
"102","102","GO101_25_290","GO101_25_48","1",""
"102","102","GO101_25_1588","GO101_25_48","1",""
"102","102","GO101_25_1588_1","GO101_25_48","1",""
"27","27","GO101_25_120","GO101_25_56","1",""
"27","27","GO101_25_57","GO101_25_229","1",""
"27","27","GO101_25_124","GO101_25_58","1",""
"27","27","GO101_25_59","GO101_25_139","1",""
"27","27","GO101_25_128","GO101_25_60","1",""
"27","27","GO101_25_61","GO101_25_143","1",""
"102","102","GO101_25_716","GO101_25_62","1",""
"102","102","GO101_25_1916","GO101_25_62","1",""
"27","27","GO101_25_63","GO101_25_147","1",""
"27","27","GO101_25_132","GO101_25_64","1",""
"27","27","GO101_25_140","GO101_25_66","1",""
"27","27","GO101_25_67","GO101_25_155","1",""
"27","27","GO101_25_144","GO101_25_68","1",""
"27","27","GO101_25_69","GO101_25_163","1",""
"27","27","GO101_25_71","GO101_25_171","1",""
"27","27","GO101_25_73","GO101_25_177","1",""
"27","27","GO101_25_152","GO101_25_74","1",""
"27","27","GO101_25_75","GO101_25_181","1",""
"102","102","GO101_25_162","GO101_25_76","1",""
"102","102","GO101_25_754","GO101_25_76","1",""
"27","27","GO101_25_77","GO101_25_185","1",""
"27","27","GO101_25_164","GO101_25_78","1",""
"102","102","GO101_25_760","GO101_25_80","1",""
"102","102","GO101_25_1970","GO101_25_80","1",""
"27","27","GO101_25_268","GO101_25_82","1",""
"27","27","GO101_25_188","GO101_25_84","1",""
"27","27","GO101_25_89","GO101_25_169","1",""
"27","27","GO101_25_99","GO101_25_171","1",""
"102","102","GO101_25_102","GO101_25_502","1",""
"102","102","GO101_25_702","GO101_25_502","1",""
"102","102","GO101_25_702_1","GO101_25_502","1",""
"102","102","GO101_25_102","GO101_25_502_1","1",""
"102","102","GO101_25_702","GO101_25_502_1","1",""
"102","102","GO101_25_702_1","GO101_25_502_1","1",""
"102","102","GO101_25_2702_1","GO101_25_502_1","1",""
"102","102","GO101_25_220","GO101_25_508","1",""
"102","102","GO101_25_1912","GO101_25_508","1",""
"102","102","GO101_25_814","GO101_25_510","1",""
"102","102","GO101_25_2014","GO101_25_510","1",""
"102","102","GO101_25_130","GO101_25_512","1",""
"102","102","GO101_25_1614","GO101_25_512","1",""
"102","102","GO101_25_722","GO101_25_516","1",""
"102","102","GO101_25_1522","GO101_25_516","1",""
"102","102","GO101_25_724","GO101_25_550","1",""
"102","102","GO101_25_1526","GO101_25_550","1",""
"102","102","GO101_25_750","GO101_25_552","1",""
"102","102","GO101_25_1552","GO101_25_552","1",""
"102","102","GO101_25_162","GO101_25_556","1",""
"102","102","GO101_25_1754","GO101_25_556","1",""
"102","102","GO101_25_860","GO101_25_558","1",""
"102","102","GO101_25_1150","GO101_25_558","1",""
"102","102","GO101_25_170","GO101_25_560","1",""
"102","102","GO101_25_2064","GO101_25_560","1",""
"102","102","GO101_25_268","GO101_25_562","1",""
"102","102","GO101_25_1060","GO101_25_562","1",""
"102","102","GO101_25_272","GO101_25_566","1",""
"102","102","GO101_25_876","GO101_25_568","1",""
"102","102","GO101_25_1572","GO101_25_568","1",""
"102","102","GO101_25_882","GO101_25_570","1",""
"102","102","GO101_25_1670","GO101_25_570","1",""
"102","102","GO101_25_784","GO101_25_574","1",""
"102","102","GO101_25_1586","GO101_25_574","1",""
"102","102","GO101_25_1590","GO101_25_576","1",""
"102","102","GO101_25_1590_1","GO101_25_576","1",""
"102","102","GO101_25_2788","GO101_25_576","1",""
"102","102","GO101_25_292","GO101_25_578","1",""
"102","102","GO101_25_1990","GO101_25_578","1",""
"102","102","GO101_25_1990_1","GO101_25_578","1",""
"91","91","GO101_25_1594","GO101_25_600","1",""
"102","102","GO101_25_102","GO101_25_604","1",""
"102","102","GO101_25_702_2","GO101_25_604","1",""
"102","102","GO101_25_2702","GO101_25_604","1",""
"91","91","GO101_25_1608","GO101_25_606","1",""
"91","91","GO101_25_607","GO101_25_1509","1",""
"102","102","GO101_25_1914","GO101_25_608","1",""
"102","102","GO101_25_2716","GO101_25_608","1",""
"91","91","GO101_25_1514","GO101_25_610","1",""
"92","92","GO101_25_1918","GO101_25_614","1",""
"91","91","GO101_25_623","GO101_25_1523","1",""
"92","92","GO101_25_625","GO101_25_1527","1",""
"91","91","GO101_25_629","GO101_25_1535","1",""
"91","91","GO101_25_1524","GO101_25_650","1",""
"91","91","GO101_25_1552","GO101_25_652","1",""
"91","91","GO101_25_653","GO101_25_1555","1",""
"91","91","GO101_25_1558","GO101_25_654","1",""
"91","91","GO101_25_655","GO101_25_1655","1",""
"102","102","GO101_25_858","GO101_25_656","1",""
"102","102","GO101_25_2758","GO101_25_656","1",""
"102","102","GO101_25_1252","GO101_25_658","1",""
"102","102","GO101_25_1968","GO101_25_658","1",""
"102","102","GO101_25_760","GO101_25_660","1",""
"91","91","GO101_25_661","GO101_25_1575","1",""
"102","102","GO101_25_1660","GO101_25_662","1",""
"102","102","GO101_25_1972","GO101_25_662","1",""
"91","91","GO101_25_663","GO101_25_1581","1",""
"102","102","GO101_25_866","GO101_25_664","1",""
"91","91","GO101_25_665","GO101_25_1587","1",""
"91","91","GO101_25_667","GO101_25_1501","1",""
"102","102","GO101_25_1178","GO101_25_668","1",""
"102","102","GO101_25_2774","GO101_25_668","1",""
"91","91","GO101_25_1668","GO101_25_670","1",""
"91","91","GO101_25_1580","GO101_25_672","1",""
"102","102","GO101_25_288","GO101_25_674","1",""
"102","102","GO101_25_1584","GO101_25_674","1",""
"91","91","GO101_25_1588","GO101_25_676","1",""
"91","91","GO101_25_1588_1","GO101_25_676","1",""
"102","102","GO101_25_270","GO101_25_698","1",""
"102","102","GO101_25_1568","GO101_25_698","1",""
"179","179","GO101_25_903","GO101_25_1919","1",""
"179","179","GO101_25_2010","GO101_25_904","1",""
"179","179","GO101_25_905","GO101_25_1933","1",""
"179","179","GO101_25_1922","GO101_25_906","1",""
"179","179","GO101_25_951","GO101_25_1961","1",""
"179","179","GO101_25_1960","GO101_25_952","1",""
"179","179","GO101_25_953","GO101_25_2063","1",""
"179","179","GO101_25_1960","GO101_25_954","1",""
"179","179","GO101_25_2068","GO101_25_956","1",""
"179","179","GO101_25_957","GO101_25_1987","1",""
"102","102","GO101_25_6202","GO101_25_6002","1",""
"102","102","GO101_25_7900","GO101_25_6002","1",""
"102","102","GO101_25_7902_1","GO101_25_6002","1",""
"102","102","GO101_25_6112","GO101_25_6006","1",""
"102","102","GO101_25_8710","GO101_25_6006","1",""
"102","102","GO101_25_7916","GO101_25_6008","1",""
"102","102","GO101_25_7916_1","GO101_25_6008","1",""
"102","102","GO101_25_8712","GO101_25_6008","1",""
"102","102","GO101_25_7716","GO101_25_6010","1",""
"102","102","GO101_25_8304","GO101_25_6010","1",""
"102","102","GO101_25_7932","GO101_25_6012","1",""
"102","102","GO101_25_7932_1","GO101_25_6012","1",""
"102","102","GO101_25_8720","GO101_25_6012","1",""
"102","102","GO101_25_6188","GO101_25_6014","1",""
"102","102","GO101_25_6270","GO101_25_6014","1",""
"102","102","GO101_25_6270_1","GO101_25_6014","1",""
"27","27","GO101_25_6031","GO101_25_6113","1",""
"27","27","GO101_25_6033","GO101_25_6117","1",""
"27","27","GO101_25_6114","GO101_25_6034","1",""
"27","27","GO101_25_6035","GO101_25_6133","1",""
"102","102","GO101_25_6216","GO101_25_6036","1",""
"102","102","GO101_25_7922","GO101_25_6036","1",""
"27","27","GO101_25_6037","GO101_25_6155","1",""
"102","102","GO101_25_6254","GO101_25_6038","1",""
"102","102","GO101_25_6854","GO101_25_6038","1",""
"102","102","GO101_25_7580","GO101_25_6040","1",""
"102","102","GO101_25_7580_1","GO101_25_6040","1",""
"102","102","GO101_25_8764","GO101_25_6040","1",""
"102","102","GO101_25_8764_1","GO101_25_6040","1",""
"27","27","GO101_25_6041","GO101_25_6163","1",""
"27","27","GO101_25_6192","GO101_25_6042","1",""
"27","27","GO101_25_6192_1","GO101_25_6042","1",""
"102","102","GO101_25_6274","GO101_25_6044","1",""
"102","102","GO101_25_6878","GO101_25_6044","1",""
"102","102","GO101_25_6120","GO101_25_6052","1",""
"102","102","GO101_25_8714","GO101_25_6052","1",""
"27","27","GO101_25_6126","GO101_25_6054","1",""
"27","27","GO101_25_6055","GO101_25_6151","1",""
"27","27","GO101_25_6130","GO101_25_6056","1",""
"27","27","GO101_25_6150","GO101_25_6058","1",""
"27","27","GO101_25_6059","GO101_25_6167","1",""
"27","27","GO101_25_6059","GO101_25_6167_1","1",""
"27","27","GO101_25_6154","GO101_25_6060","1",""
"27","27","GO101_25_6061","GO101_25_6171","1",""
"27","27","GO101_25_6061","GO101_25_6171_1","1",""
"27","27","GO101_25_6162","GO101_25_6062","1",""
"27","27","GO101_25_6168","GO101_25_6064","1",""
"27","27","GO101_25_6065","GO101_25_6183","1",""
"102","102","GO101_25_6262","GO101_25_6066","1",""
"102","102","GO101_25_6262_1","GO101_25_6066","1",""
"102","102","GO101_25_7972","GO101_25_6066","1",""
"102","102","GO101_25_7972_1","GO101_25_6066","1",""
"27","27","GO101_25_6176","GO101_25_6068","1",""
"27","27","GO101_25_6184","GO101_25_6070","1",""
"27","27","GO101_25_6071","GO101_25_6195","1",""
"102","102","GO101_25_6702","GO101_25_6502","1",""
"102","102","GO101_25_6702_1","GO101_25_6502","1",""
"102","102","GO101_25_6702_2","GO101_25_6502","1",""
"102","102","GO101_25_6802","GO101_25_6502","1",""
"102","102","GO101_25_6214","GO101_25_6508","1",""
"102","102","GO101_25_7918","GO101_25_6508","1",""
"102","102","GO101_25_6218","GO101_25_6512","1",""
"102","102","GO101_25_7926","GO101_25_6512","1",""
"102","102","GO101_25_6250","GO101_25_6550","1",""
"102","102","GO101_25_7950","GO101_25_6550","1",""
"102","102","GO101_25_6254","GO101_25_6554","1",""
"102","102","GO101_25_7960","GO101_25_6554","1",""
"102","102","GO101_25_7960_1","GO101_25_6554","1",""
"102","102","GO101_25_6260","GO101_25_6558","1",""
"102","102","GO101_25_7968","GO101_25_6558","1",""
"102","102","GO101_25_7968_1","GO101_25_6558","1",""
"102","102","GO101_25_6264","GO101_25_6564","1",""
"102","102","GO101_25_6264_1","GO101_25_6564","1",""
"102","102","GO101_25_7976","GO101_25_6564","1",""
"102","102","GO101_25_7976_1","GO101_25_6564","1",""
"102","102","GO101_25_6268","GO101_25_6570","1",""
"102","102","GO101_25_6268_1","GO101_25_6570","1",""
"102","102","GO101_25_7984","GO101_25_6570","1",""
"102","102","GO101_25_7984_1","GO101_25_6570","1",""
"102","102","GO101_25_6274","GO101_25_6574","1",""
"102","102","GO101_25_7996","GO101_25_6574","1",""
"102","102","GO101_25_6274","GO101_25_6574_1","1",""
"102","102","GO101_25_7996","GO101_25_6574_1","1",""
"102","102","GO101_25_7996_1","GO101_25_6574_1","1",""
"102","102","GO101_25_7996_2","GO101_25_6574_1","1",""
"91","91","GO101_25_7596","GO101_25_6600","1",""
"91","91","GO101_25_7596_1","GO101_25_6600","1",""
"102","102","GO101_25_6102","GO101_25_6602","1",""
"102","102","GO101_25_8702","GO101_25_6602","1",""
"102","102","GO101_25_8702_1","GO101_25_6602","1",""
"91","91","GO101_25_7506","GO101_25_6604","1",""
"91","91","GO101_25_7506_1","GO101_25_6604","1",""
"91","91","GO101_25_6607","GO101_25_7511","1",""
"91","91","GO101_25_6609","GO101_25_7517","1",""
"91","91","GO101_25_7512","GO101_25_6610","1",""
"91","91","GO101_25_7512_1","GO101_25_6610","1",""
"91","91","GO101_25_6611","GO101_25_7521","1",""
"91","91","GO101_25_7518","GO101_25_6612","1",""
"91","91","GO101_25_6613","GO101_25_7527","1",""
"91","91","GO101_25_7524","GO101_25_6614","1",""
"91","91","GO101_25_7524_1","GO101_25_6614","1",""
"91","91","GO101_25_6615","GO101_25_7551","1",""
"91","91","GO101_25_7530","GO101_25_6650","1",""
"91","91","GO101_25_7554","GO101_25_6652","1",""
"91","91","GO101_25_7554_1","GO101_25_6652","1",""
"91","91","GO101_25_6653","GO101_25_7557","1",""
"91","91","GO101_25_7560","GO101_25_6654","1",""
"91","91","GO101_25_7560_1","GO101_25_6654","1",""
"91","91","GO101_25_6655","GO101_25_7563","1",""
"91","91","GO101_25_7566","GO101_25_6656","1",""
"91","91","GO101_25_7566_1","GO101_25_6656","1",""
"91","91","GO101_25_6657","GO101_25_7569","1",""
"91","91","GO101_25_6657","GO101_25_7569_1","1",""
"91","91","GO101_25_6659","GO101_25_7575","1",""
"91","91","GO101_25_6659","GO101_25_7575_1","1",""
"91","91","GO101_25_7572","GO101_25_6660","1",""
"91","91","GO101_25_7572_1","GO101_25_6660","1",""
"91","91","GO101_25_6661","GO101_25_7581","1",""
"91","91","GO101_25_6661","GO101_25_7581_1","1",""
"91","91","GO101_25_7578","GO101_25_6662","1",""
"91","91","GO101_25_7578_1","GO101_25_6662","1",""
"91","91","GO101_25_6663","GO101_25_7587","1",""
"91","91","GO101_25_6663","GO101_25_7587_1","1",""
"91","91","GO101_25_7584","GO101_25_6664","1",""
"91","91","GO101_25_7584_1","GO101_25_6664","1",""
"91","91","GO101_25_6665","GO101_25_7593","1",""
"91","91","GO101_25_6665","GO101_25_7593_1","1",""
"91","91","GO101_25_7592","GO101_25_6666","1",""
"91","91","GO101_25_7592_1","GO101_25_6666","1",""
"91","91","GO101_25_7592_2","GO101_25_6666","1",""
"91","91","GO101_25_6667","GO101_25_7501","1",""
"179","179","GO101_25_7904","GO101_25_6902","1",""
"179","179","GO101_25_7904_1","GO101_25_6902","1",""
"179","179","GO101_25_6903","GO101_25_7921","1",""
"179","179","GO101_25_7916","GO101_25_6904","1",""
"179","179","GO101_25_7916_1","GO101_25_6904","1",""
"179","179","GO101_25_6905","GO101_25_7957","1",""
"179","179","GO101_25_7952","GO101_25_6950","1",""
"179","179","GO101_25_7952_1","GO101_25_6950","1",""
"179","179","GO101_25_6951","GO101_25_7977","1",""
"179","179","GO101_25_7972","GO101_25_6952","1",""
"179","179","GO101_25_7972_1","GO101_25_6952","1",""
"179","179","GO101_25_6955","GO101_25_7993","1",""
"25","25","GO101_25_300_1_2811_METS","GO101_25_10300","1",""
"25","25","GO101_25_10303","GO101_25_303_1_2811_METS","1",""
"25","25","GO101_25_10305","GO101_25_305_1_2811_METS","1",""
"25","25","GO101_25_10307","GO101_25_307_1_2811_METS","1",""
"25","25","GO101_25_10373","GO101_25_373_1_2811_METS","1",""
"25","25","GO101_25_376_1_2811_METS","GO101_25_10376","1",""
"25","25","GO101_25_378_1_2811_METS","GO101_25_10378","1",""
"25","25","GO101_25_380_1_2811_METS","GO101_25_10380","1",""
"25","25","GO101_25_382_1_2811_METS","GO101_25_10382","1",""
